dt,level,date.time,precip,pr,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,e.01,e.02,e.03,e.04,e.05,e.06,e.07,e.14,e.30
2012-12-10T08:00:00Z,156.01,2012-12-10T08:00:00Z,0.01,0.01,3.169999999999999,3.839999999999996,1.5900000000000007,0.79,2.9299999999999984,2.510000000000001,1.6300000000000006,1.1900000000000002,0,0,0.01,0.01,0,0,0.06,0.10999999999999999,0.03,0.05,0.02,0.3,0.3500000000000001,0.28,0.24000000000000002,0.64,0.09,1.29,0.23,0.9400000000000004,0.29000000000000004,0.08,1.5500000000000007,1.1300000000000006,1.880000000000001,0.53,0.49000000000000005,3.5299999999999976,0.5100000000000001,3.339999999999999,1.1900000000000004,0.6800000000000002,1.8400000000000007,1.6300000000000006,0.7400000000000002,0.32000000000000006,2.33,2.7899999999999987,0.6000000000000001,1.2100000000000004,4.369999999999998,0.2,0.11,0.02,155.84,152.62,152.82,153.34,154.11,155.11,156.11,153.07,155.65
2013-01-09T08:00:00Z,156.78,2013-01-09T08:00:00Z,0.23,0.23,0.30000000000000004,2.999999999999998,2.55,1.1300000000000003,4.419999999999995,1.3200000000000003,3.77,1.1200000000000003,1.2400000000000007,3.770000000000001,1.5100000000000002,1.7500000000000004,0,0,0,0.02,0,0,0.04,0.09,0.05,0.07,0.02,0.29000000000000004,0.3600000000000001,0.01,0.5100000000000001,0.56,0.11000000000000001,1.1400000000000001,0.4000000000000001,0.23000000000000007,0.9700000000000003,0.11999999999999998,1.1900000000000002,1.4400000000000008,1.3400000000000003,1.11,0.28,3.5699999999999967,0.43000000000000005,2.5799999999999974,1.6100000000000008,1.21,1.1200000000000006,2.24,0.9200000000000004,0.17000000000000004,1.6300000000000008,2.8100000000000005,1.4000000000000006,0.9700000000000004,156.01,155.84,152.62,152.82,153.34,154.11,155.11,154.07,153.35
2013-02-06T08:00:00Z,155.4,2013-02-06T08:00:00Z,0,0,0.7800000000000002,0,1.07,1.7200000000000009,0.30000000000000004,2.999999999999998,2.55,1.1300000000000003,4.419999999999995,1.3200000000000003,3.77,1.1200000000000003,1.2400000000000007,3.770000000000001,1.5100000000000002,1.7500000000000004,0,0,0,0.02,0,0,0.04,0.09,0.05,0.07,0.02,0.29000000000000004,0.3600000000000001,0.01,0.5100000000000001,0.56,0.11000000000000001,1.1400000000000001,0.4000000000000001,0.23000000000000007,0.9700000000000003,0.11999999999999998,1.1900000000000002,1.4400000000000008,1.3400000000000003,1.11,0.28,3.5699999999999967,0.43000000000000005,2.5799999999999974,1.6100000000000008,1.21,1.1200000000000006,2.24,0.9200000000000004,0.17000000000000004,156.78,156.01,155.84,152.62,152.82,153.34,154.11,156.08,154.91
2013-03-06T08:00:00Z,155.61,2013-03-06T08:00:00Z,0,0,2.1399999999999997,0.060000000000000005,0.2,0.7200000000000003,0.7800000000000002,0,1.07,1.7200000000000009,0.30000000000000004,2.999999999999998,2.55,1.1300000000000003,4.419999999999995,1.3200000000000003,3.77,1.1200000000000003,1.2400000000000007,3.770000000000001,1.5100000000000002,1.7500000000000004,0,0,0,0.02,0,0,0.04,0.09,0.05,0.07,0.02,0.29000000000000004,0.3600000000000001,0.01,0.5100000000000001,0.56,0.11000000000000001,1.1400000000000001,0.4000000000000001,0.23000000000000007,0.9700000000000003,0.11999999999999998,1.1900000000000002,1.4400000000000008,1.3400000000000003,1.11,0.28,3.5699999999999967,0.43000000000000005,2.5799999999999974,1.6100000000000008,1.21,155.4,156.78,156.01,155.84,152.62,152.82,153.34,156,153.98
2013-03-27T07:00:00Z,155.39,2013-03-27T07:00:00Z,0.01,0.01,1.1600000000000006,1.1300000000000003,1.4200000000000004,2.1399999999999997,0.06999999999999999,0.19,0.7200000000000003,0.7800000000000002,0,1.3000000000000003,1.4900000000000009,0.30000000000000004,2.999999999999998,2.55,1.1600000000000004,4.389999999999994,1.3200000000000003,3.77,1.1200000000000003,1.2400000000000007,3.7800000000000007,1.5000000000000002,1.7500000000000004,0,0,0,0.02,0,0,0.04,0.09,0.05,0.07,0.02,0.29000000000000004,0.3600000000000001,0.01,0.5100000000000001,0.56,0.11000000000000001,1.1400000000000001,0.4000000000000001,0.23000000000000007,0.9700000000000003,0.11999999999999998,1.1900000000000002,1.4400000000000008,1.3400000000000003,1.11,0.28,3.5699999999999967,0.43000000000000005,155.61,155.4,156.78,156.01,155.84,152.62,152.82,156.99,153.35
2013-04-04T07:00:00Z,155.13,2013-04-04T07:00:00Z,0,0,0.21000000000000002,1.7100000000000006,1.0800000000000007,1.6300000000000006,2.1399999999999992,0.16999999999999998,0.11,0.5299999999999999,0.9000000000000006,0.17,0.04,2.7500000000000004,0.14,2.0200000000000005,3.6899999999999995,1.1200000000000003,4.369999999999994,0.8400000000000002,4.309999999999998,1.1000000000000003,1.2600000000000007,3.6400000000000006,1.6400000000000003,1.7500000000000004,0,0,0,0.02,0,0,0.04,0.09,0.05,0.07,0.01,0.30000000000000004,0.3500000000000001,0.02,0.5100000000000001,0.56,0.11000000000000001,1.1400000000000001,0.33999999999999997,0.2600000000000001,1.0000000000000002,0.11999999999999998,1.1800000000000002,0.9100000000000001,1.8600000000000008,0.8000000000000003,0.49000000000000005,3.559999999999996,155.39,155.61,155.4,156.78,156.01,155.84,152.62,155.45,154.01
2013-06-10T07:00:00Z,154.43,2013-06-10T07:00:00Z,0,0,1.0400000000000003,1.6200000000000008,0.51,0.04,0,0.2,0.26,1.0200000000000002,3.04,0.22,1.5700000000000005,1.0400000000000003,0.9100000000000001,1.6000000000000005,1.77,0.09,0.5499999999999999,0.38,0.7300000000000002,0.03,2.4699999999999998,0.4100000000000001,0.8400000000000003,3.3199999999999976,1.7600000000000005,2.2599999999999993,3.099999999999999,3.839999999999996,1.5900000000000007,0.79,3.1399999999999983,2.300000000000001,1.6500000000000006,1.1700000000000002,0,0,0.01,0.01,0,0,0.06,0.10999999999999999,0.03,0.05,0.02,0.33,0.32000000000000006,0.28,0.24000000000000002,0.64,0.09,1.29,155.13,155.39,155.61,155.4,156.78,156.01,155.84,155.7,154.62
2013-09-04T07:00:00Z,153.03,2013-09-04T07:00:00Z,0,0,0.1,0.18999999999999997,0.08,0.01,0,0,0,0,0.41000000000000003,1.0700000000000003,0.37,0.01,0.4800000000000001,1.6600000000000008,0.71,0.36,0,0.2,0.2,1.0800000000000003,3.04,0.21000000000000002,1.0300000000000002,1.1700000000000006,1.1300000000000003,1.4200000000000004,2.1399999999999997,0.06999999999999999,0.19,0.7200000000000003,0.7800000000000002,0,1.3000000000000003,1.4900000000000009,0.30000000000000004,2.999999999999998,2.55,1.1600000000000004,4.389999999999994,1.3200000000000003,3.77,1.1200000000000003,1.2400000000000007,3.7800000000000007,1.5000000000000002,1.7500000000000004,0,0,0,0.02,0,0,154.43,155.13,155.39,155.61,155.4,156.78,156.01,156.11,155.61
2013-10-01T07:00:00Z,156.22,2013-10-01T07:00:00Z,0.12,0.12,1.46,0.05,2.1999999999999997,1.5,0.07,0.18999999999999997,0.08,0.01,0,0,0,0,0.6500000000000001,0.8300000000000001,0.38,0,0.53,2.000000000000001,0.32000000000000006,0.36,0,0.2,0.2,1.0800000000000003,3.04,0.22,1.5100000000000005,0.9400000000000004,1.0700000000000003,1.2300000000000002,2.1399999999999997,0.09,0.5499999999999999,0.33,0.7800000000000002,0,1.9700000000000004,0.8200000000000003,0.9200000000000004,2.6399999999999975,2.4399999999999986,1.6200000000000008,3.7799999999999963,1.5500000000000003,3.700000000000001,0.9700000000000002,2.7999999999999985,2.210000000000001,1.5500000000000003,1.7000000000000004,0,0,153.03,154.43,155.13,155.39,155.61,155.4,156.78,155.11,156.08
2013-11-04T08:00:00Z,154.89,2013-11-04T08:00:00Z,0,0,0,0,0.3400000000000001,3.019999999999998,4.4499999999999975,1.24,0.03,2.2099999999999995,1.55,0.01,0.18999999999999997,0.08,0.01,0,0,0,0,0.7500000000000002,0.9500000000000001,0.16000000000000003,0,1.0400000000000003,1.6200000000000008,0.51,0.04,0,0.2,0.26,1.0200000000000002,3.04,0.22,1.5700000000000005,1.0400000000000003,0.9100000000000001,1.6000000000000005,1.77,0.09,0.5499999999999999,0.38,0.7300000000000002,0.03,2.4499999999999997,0.4300000000000001,0.8400000000000003,3.2599999999999976,1.8100000000000007,2.199999999999999,3.169999999999999,3.839999999999996,1.5900000000000007,0.79,2.9299999999999984,156.22,153.03,154.43,155.13,155.39,155.61,155.4,154.11,156.28
